bowler,wickets,economy_rate,dot_balls,death_economy
Prince Yadav,16,8.121546961325967,77,10.428571428571429
Eshan Malinga,15,9.37037037037037,61,7.2
Jofra Archer,15,7.896551724137931,88,7.5
Anshul Kamboj,14,8.566265060240964,75,8.4375
Prasidh Krishna,14,10.346153846153847,53,12.0
Bhuvneshwar Kumar,14,7.612903225806452,72,7.8
Kagiso Rabada,13,9.483870967741936,79,9.8
Ravi Bishnoi,11,9.356643356643357,40,13.0
Jamie Overton,9,9.736842105263158,37,11.6
Kartik Tyagi,9,9.62962962962963,62,10.222222222222221
Mohammed Siraj,9,7.896551724137931,86,11.166666666666666
Sunil Narine,9,6.581818181818182,70,6.5
Vaibhav Arora,9,10.25,60,9.545454545454545
Nandre Burger,8,8.980392156862745,74,9.6
Josh Hazlewood,8,7.897435897435898,55,7.428571428571429
Harsh Dubey,8,8.294117647058824,33,5.75
Rashid Khan,8,8.517241379310345,56,8.0
Arshdeep Singh,7,9.923076923076923,54,10.333333333333334
Sakib Hussain,7,8.9375,33,8.25
Rasikh Salam Dar,7,8.589473684210526,31,8.0
Mohammed Shami,7,8.0,89,13.0
Vijaykumar Vyshak,7,10.95,37,9.0
Kuldeep Yadav,7,10.26086956521739,35,9.5
Lungi Ngidi,7,8.704225352112676,47,8.307692307692308
Brijesh Sharma,7,8.74468085106383,33,8.571428571428571
Sandeep Sharma,6,10.799999999999999,29,14.470588235294118
Ashok Sharma,6,10.80952380952381,53,11.666666666666666
Shardul Thakur,6,13.5,17,11.0
Suyash Sharma,6,7.846153846153846,56,3.0
Mukesh Kumar,6,11.0,53,14.2
Praful Hinge,6,11.833333333333334,30,10.333333333333334
Jacob Duffy,6,11.583333333333334,30,17.5
Yuzvendra Chahal,5,9.666666666666666,27,14.0
Avesh Khan,5,10.176470588235293,35,10.0
Xavier Bartlett,5,11.571428571428571,38,10.666666666666666
Marco Jansen,5,8.791666666666666,45,9.5
Manimaran Siddharth,4,8.818181818181818,21,14.0
Natarajan,4,10.342105263157896,33,9.661016949152541
Hardik Pandya,3,12.666666666666666,26,13.0
Gurjapneet Singh,3,9.529411764705882,28,9.157894736842106
Jasprit Bumrah,3,8.076923076923077,59,8.333333333333334
Romario Shepherd,3,14.5,11,17.17241379310345
Tushar Deshpande,3,12.5,22,12.333333333333334
Digvesh Singh Rathi,3,9.375,37,18.5
Manav Suthar,2,8.2,13,15.0
