striker,runs_of_bat,balls_faced,strike_rate,fours,sixes,boundary_runs,boundary_dependency
Abdul Samad,72,66,109.09090909090908,7,1,34,47.22222222222222
Abhishek Sharma,380,199,190.95477386934675,36,28,312,82.10526315789474
Abishek Porel,30,34,88.23529411764706,3,0,12,40.0
Aiden Markram,193,138,139.85507246376812,19,10,136,70.46632124352331
Ajinkya Rahane,162,126,128.57142857142858,8,10,92,56.79012345679012
Akeal Hosein,2,2,100.0,0,0,0,0.0
Angkrish Raghuvanshi,209,154,135.71428571428572,24,7,138,66.02870813397129
Aniket Verma,73,49,148.9795918367347,5,5,50,68.4931506849315
Anrich Nortje,0,1,0.0,0,0,0,0.0
Anshul Kamboj,40,32,125.0,2,2,20,50.0
Anukul Roy,39,28,139.28571428571428,2,2,20,51.28205128205128
Ashok Sharma,1,5,20.0,0,0,0,0.0
Ashutosh Sharma,33,21,157.14285714285714,3,2,24,72.72727272727273
Ashwani Kumar,1,6,16.666666666666664,0,0,0,0.0
Auqib Nabi,4,2,200.0,1,0,4,100.0
Avesh Khan,6,7,85.71428571428571,1,0,4,66.66666666666666
Axar Patel,31,32,96.875,3,0,12,38.70967741935484
Ayush Badoni,172,125,137.6,18,6,108,62.7906976744186
Ayush Mhatre,201,118,170.33898305084745,20,12,152,75.62189054726367
Bhuvneshwar Kumar,12,10,120.0,1,0,4,33.33333333333333
Brijesh Sharma,1,3,33.33333333333333,0,0,0,0.0
Cameron Green,196,136,144.11764705882354,16,10,124,63.26530612244898
Cooper Connolly,240,150,160.0,22,15,178,74.16666666666667
Corbin Bosch,11,4,275.0,2,0,8,72.72727272727273
Danish Malewar,2,5,40.0,0,0,0,0.0
David Miller,123,91,135.16483516483518,12,6,84,68.29268292682927
David Payne,6,5,120.0,0,0,0,0.0
Deepak Chahar,6,5,120.0,1,0,4,66.66666666666666
Devdutt Padikkal,242,129,187.5968992248062,22,16,184,76.03305785123968
Dewald Brevis,64,58,110.34482758620689,5,4,44,68.75
Dhruv Jurel,231,150,154.0,25,9,154,66.66666666666666
Digvesh Singh Rathi,2,5,40.0,0,0,0,0.0
Donovan Ferreira,130,91,142.85714285714286,13,7,94,72.3076923076923
Dushmantha Chameera,0,3,0.0,0,0,0,0.0
Finn Allen,81,44,184.0909090909091,13,4,76,93.82716049382715
George Linde,31,21,147.61904761904762,6,0,24,77.41935483870968
Glenn Phillips,67,57,117.54385964912282,4,2,28,41.7910447761194
Hardik Pandya,97,71,136.61971830985914,12,2,60,61.855670103092784
Harsh Dubey,13,11,118.18181818181819,2,0,8,61.53846153846154
Harshal Patel,4,4,100.0,1,0,4,100.0
Heinrich Klaasen,349,244,143.0327868852459,25,14,184,52.72206303724928
Himmat Singh,35,27,129.62962962962962,2,2,20,57.14285714285714
Ishan Kishan,313,163,192.0245398773006,35,16,236,75.39936102236422
Jacob Bethell,34,21,161.9047619047619,4,2,28,82.35294117647058
Jaiswal,1,1,100.0,0,0,0,0.0
Jamie Overton,136,90,151.11111111111111,13,6,88,64.70588235294117
Jason Holder,23,10,229.99999999999997,1,2,16,69.56521739130434
Jasprit Bumrah,7,8,87.5,1,0,4,57.14285714285714
Jaydev Unadkat,4,3,133.33333333333331,0,0,0,0.0
Jitesh Sharma,63,55,114.54545454545455,5,3,38,60.317460317460316
Jofra Archer,13,16,81.25,1,0,4,30.76923076923077
Jos Buttler,270,181,149.17127071823205,31,11,190,70.37037037037037
Kagiso Rabada,35,31,112.90322580645163,3,2,24,68.57142857142857
Kartik Sharma,58,51,113.72549019607843,3,4,36,62.06896551724138
