batting_team,avg_powerplay_runs,avg_middle_runs,avg_death_runs,total_phase_runs
RCB,58.875,85.71428571428571,44.8,189.38928571428573
PBKS,73.0,82.83333333333333,31.166666666666668,186.99999999999997
SRH,63.5,81.5,40.125,185.125
RR,66.25,61.75,31.5,159.5
CSK,55.5,64.375,37.25,157.125
MI,50.0,66.71428571428571,39.666666666666664,156.38095238095238
GT,55.25,70.75,28.0,154.0
DC,46.625,76.375,28.375,151.375
KKR,41.333333333333336,63.714285714285715,40.0,145.04761904761904
LSG,40.0,56.375,32.375,128.75
